gene,condition,Log2FC,Mean,FDR,Pval,MeanDiff,AUC,MeanBGD
RNF223,CTRL,-0.84528025543044,0.420863533817569,0.00139008798221012,7.27782994645035e-05,-0.336865290777572,0.445700472573023,0.757728824595141
LZIC,CTRL,0.819573934680884,0.327281181103053,0.0376620728719015,0.00567345587290063,0.142710898308611,0.530874502024161,0.184570282794442
CORT,CTRL,1.78636551635632,0.236204768993681,0.000590750836512346,2.49814850297371e-05,0.169154563271233,0.528058015193303,0.0670502057224484
SRM,CTRL,0.886028118214422,0.536718788429225,0.00101537902509051,4.83201297388954e-05,0.247220781146326,0.545757326494734,0.289498007282899
LYPLA2,CTRL,-1.1048865726748,0.22757835087629,0.00207182104934897,0.000123432575127846,-0.264212526188888,0.46115385235722,0.491790877065178
RPA2,CTRL,0.659236471012315,0.560048238751953,0.0443455782432584,0.00706384561267787,0.20615474859233,0.536757471653683,0.353893490159623
DNAJC8,CTRL,0.612988726186499,0.624076351730395,0.00291373378780382,0.000191627963421856,0.216724879698276,0.554454766858599,0.407351472032119
SNORD99,CTRL,0.637133809258217,1.16896363539438,0.00509838334038913,0.00038844433142013,0.418049646525188,0.543664618312608,0.75091398886919
SNORA61,CTRL,0.619771647348998,1.1030962018394,0.0123241885800556,0.00124615997478707,0.385931213690683,0.539281624489928,0.717164988148717
SNORA44,CTRL,0.673947870314685,1.09724885741533,0.022003739016425,0.00270935592316649,0.410254589403362,0.536152642699311,0.686994268011972
SNORA16A,CTRL,0.761336033026476,1.08702398603228,0.00879506329547542,0.000793892325387981,0.446557857440449,0.540055805551523,0.640466128591833
GMEB1,CTRL,0.642563214394753,0.511142589658828,0.0151995827888992,0.0016326933277726,0.184439757830116,0.54785003467686,0.326702831828712
EPB41,CTRL,0.627185242211441,1.25380939792839,2.18826988825967e-05,4.68523487427334e-07,0.442753049003562,0.588466315059434,0.811056348924832
MECR,CTRL,0.641846089505576,0.444843264734039,0.00534355061474389,0.000409498081771397,0.160467727825118,0.549110094998468,0.284375536908921
PEF1,CTRL,0.652800845449631,0.582014078950955,0.0208525597064554,0.00252073886860431,0.212558176814637,0.540757407138595,0.369455902136318
FAM167B,CTRL,0.972347197588912,0.484949867647305,0.0389824994113085,0.00594013039425773,0.238767063165013,0.52717899711295,0.246182804482292
LCK,CTRL,0.743739437608193,0.359457739709113,0.0269980499479828,0.00358388915444257,0.145602229598605,0.533451073369784,0.213855510110508
HPCA,CTRL,0.708304704545366,0.388759077903748,0.0422880978316173,0.00659587726136682,0.151602431283202,0.531027725359268,0.237156646620546
C1orf210,CTRL,1.52822312101944,0.136259043216814,0.0407528323488356,0.00627245258338303,0.0903293108886408,0.517221496427477,0.0459297323281732
CYP4X1,CTRL,-0.67548246264003,0.0857509780670185,0.0383993916445438,0.00583266189639996,-0.0524036072712474,0.470754503959614,0.138154585338266
MIR3671,CTRL,0.731045193673064,0.366156719913786,0.0277833970247488,0.00373134178930234,0.146357533670622,0.53127973742359,0.219799186243164
IFI44,CTRL,-0.717499870828193,0.0936767299573816,0.0275480096269228,0.00367581303214534,-0.0616525637144445,0.469399687101821,0.155329293671826
DDAH1,CTRL,-0.637509904390399,0.765060150367679,1.73925811790178e-06,2.44262957968784e-08,-0.426215144699788,0.40153989451783,1.19127529506747
CYR61,CTRL,-1.0864812784871,0.853594104786386,5.81954386666773e-10,2.37446041259369e-12,-0.961315811555274,0.388138900985468,1.81490991634166
S1PR1,CTRL,-0.922548468852117,0.494182614254676,0.0359542322059942,0.0053261763553115,-0.444319174327967,0.458976468121482,0.938501788582643
