"","B cell","CD4 Eff/Mem","CD4 Naive","CD8 Eff/Mem","CD8 Naive","HSPC","MAIT","Monocyte/DC","NK/ILC","Treg","dnT"
"X",0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983,0.760593220338983
"X.1",0,0,0,0,0,0,0,0,0,0,0
"relative_values_above_0....VAF..",0.0642857142857143,0.0420590081607031,0.0425531914893617,0.760593220338983,0.222641509433962,0.142857142857143,0.0277777777777778,0.0656634746922025,0.0672043010752688,0.369565217391304,0.333333333333333
