"","B cell","CD4 Eff/Mem","CD4 Naive","CD8 Eff/Mem","CD8 Naive","HSPC","MAIT","Monocyte/DC","NK/ILC","Treg","dnT","gdT"
"X",0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366,0.246079270031366
"X.1",0,0,0,0,0,0,0,0,0,0,0,0
"relative_values_above_0....VAF..",0.241252302025783,0.161642262417456,0.206349206349206,0.127265065318163,0.22550831792976,0.151515151515152,0.16871704745167,0.246079270031366,0.153730783652043,0.15,0.0769230769230769,0.0384615384615385
