"","B cell","CD4 Eff/Mem","CD4 Naive","CD8 Eff/Mem","CD8 Naive","HSPC","MAIT","Monocyte/DC","NK/ILC","Treg","dnT","gdT"
"X",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"X.1",0,0,0,0,0,0,0,0,0,0,0,0
"relative_values_above_0....VAF..",0.0804597701149425,0.0725552050473186,0.0616113744075829,0.0930817610062893,0.258474576271186,0.333333333333333,0.0909090909090909,0.147583804962995,0.13768115942029,0.0655737704918033,0.2,0.206896551724138
